cid;selite
233;F48 Linja-autoasema
234;F49 Keskusta
235;F50 Tietylle ajoneuvolle tarkoitettu reitti
236;F51 Vaarallisten aineiden kuljetukselle tarkoitettu reitti
237;F52 Jalankulkijalle tarkoitettu reitti
238;F53 Esteetön reitti
239;F54 Reitti, jolla on portaat
240;F55 Reitti ilman portaita
241;F56 Hätäuloskäynti
242;F57 Poistumisreitti
243;G1 Palvelukohteen opastustaulu
244;G2 Palvelukohteen opastustaulu
245;G3 Palvelukohteen erkanemisviitta
246;G4 Palvelukohteen osoiteviitta
247;G5 Palvelukohteen osoiteviitan ennakkomerkki
248;G6 Radioaseman taajuus
249;G7 Opastuspiste
250;G8 Opastustoimisto
251;G9 Ensiapu
252;G10 Autokorjaamo
253;G11.1 Polttoaineen jakelu
254;G11.2 Polttoaineen jakelu
255;G11.3 Polttoaineen jakelu
256;G11.4 Polttoaineen jakelu
257;G12 Hotelli tai motelli
258;G13 Ruokailupaikka
259;G14 Kahvila tai pikaruokapaikka
260;G15 Käymälä
261;G16 Retkeilymaja
262;G17 Leirintäalue
263;G18 Matkailuajoneuvoalue
264;G19 Levähdysalue
265;G20 Ulkoilualue
266;G21 Hätäpuhelin
267;G22 Sammutin
268;G23 Museo tai historiallinen rakennus
269;G24 Maailmanperintökohde
270;G25 Luontokohde
271;G26 Näköalapaikka
272;G27 Eläintarha tai -puisto
273;G28 Muu nähtävyys
274;G29 Uintipaikka
275;G30 Kalastuspaikka
276;G31 Hiihtohissi
277;G32 Maastohiihtokeskus
278;G33 Golfkenttä
279;G34 Huvi- ja teemapuisto
280;G35 Mökkimajoitus
281;G36 Aamiaismajoitus
282;G37 Suoramyyntipaikka
283;G38 Käsityöpaja
284;G39 Kotieläinpiha
285;G40 Ratsastuspaikka
286;G41.1 Matkailutie
287;G41.2 Matkailutie
288;H1 Kohde risteävässä suunnassa
289;H2.1 Kohde nuolen suunnassa
290;H2.2 Kohde nuolen suunnassa
291;H2.3 Kohde nuolen suunnassa
292;H3 Vaikutusalueen pituus
293;H4 Etäisyys kohteeseen
294;H5 Etäisyys pakolliseen pysäyttämiseen
295;H6 Vapaa leveys
296;H7 Vapaa korkeus
297;H8 Sähköjohdon korkeus
298;H9.1 Vaikutusalue molempiin suuntiin
299;H9.2 Vaikutusalue molempiin suuntiin
300;H10 Vaikutusalue nuolen suuntaan
301;H11 Vaikutusalue päättyy
302;H12.1 Henkilöauto
303;H12.2 Linja-auto
304;H12.3 Kuorma-auto
305;H12.4 Pakettiauto
306;H12.5 Matkailuperävaunu
307;H12.6 Matkailuauto
