id;selite
604;Iris sibirica 'Thunkhannock'
605;Iris sibirica
606;Iris 'Terry'
607;Iris 'White Knight'
608;Juncus conglomeratus
609;Juncus effusus
610;Juniperus chinensis 'Mint Julep'
611;Juniperus chinensis 'Pfitzeriana Compact
612;Juniperus communis 'Hongisto 13'
613;Juniperus communis 'Jääkäri'
614;Juniperus communis 'Norrback'
615;Juniperus communis 'Repanda'
616;Juniperus communis 'Sisu'
617;Juniperus communis 'Suecica'
618;Juniperus communis
619;Juniperus horizontalis 'Glauca'
620;Juniperus sabina 'Tamarischifolia'
621;Juniperus sabina
622;Juniperus squamata 'Meyeri'
623;Juniperus virginiana 'Sky Rocket'
624;Kalmia angustifolia
625;Kalmia latifolia 'Peppermint'
626;Kalmia polifolia
627;Kolkwitzia amabilis
628;Laburnum alpinum
629;Lamiastrum galeobdolon
630;Lathyrus latifolius
631;Lavandula angustifolia
632;Lavatera thuringiaca
633;Ledum palustre
634;Leontopodium alpinum
635;Leucanthemum x superbum
636;Leucathemum vulgare
637;Levisticum officinale
638;Leymus arenarius
639;Liatris spicata 'Floristan Weiss'
640;Liatris spicata 'Kobold'
641;Liatris spicata
642;Liatris
643;Ligularia dentata 'Desdemona'
644;Ligularia dentata 'Orange Queen'
645;Ligularia dentata 'Othello'
646;Ligularia dentata
647;Ligularia fischeri
648;Ligularia 'Hietala'
649;Ligularia japonica
650;Ligularia macrophylla 'New Star'
651;Ligularia przewalskii 'Romeo'
652;Ligularia przewalskii
653;Ligularia sibirica
654;Ligularia tangutica
655;Ligularia veitchiana
656;Ligularia wilsoniana 'Hiisi'
657;Ligularia wilsoniana
658;Ligularia x hessei 'Greynok Gold'
659;Ligularia x hessei
660;Ligularia x palmatiloba
661;Ligularia
662;Ligustrum vulgare
663;Lilium bulbiferum
664;Lilium candidum
665;Lilium lancifolium
666;Lilium martagon 'Album'
667;Lilium martagon
668;Lilium regale
669;Lilium
670;Linaria vulgaris
671;Linnea borealis
672;Linum usitatissimum
673;Lonicera alpigena
674;Lonicera caerulea ' Jörgen'
675;Lonicera caerulea
676;Lonicera caprifolium
677;Lonicera caucasica
678;Lonicera chrysantha
679;Lonicera involucrata
680;Lonicera morrowii
681;Lonicera nigra
682;Lonicera periclymenum
683;Lonicera tatarica 'Rosea'
684;Lonicera tatarica 'Sanna'
685;Lonicera tatarica
686;Lonicera x amoena
687;Lonicera x bella 'Dropmore'
688;Lonicera x bella 'Sakura'
689;Lonicera x bella 'Zabelii'
690;Lonicera x bella
691;Lonicera x xylosteoides 'Clavey's Dwarf'
692;Lonicera xylosteum
693;Lonicera
694;Lotus corniculatus
695;Lupinus polyphyllus
696;Luzula nivea
697;Luzula pilosa
698;Lychnis alpina
699;Lychnis chalcedonica
700;Lychnis coronaria
701;Lychnis viscaria
702;Lysimachia clethroides
703;Lysimachia nummularia
704;Lysimachia punctata
705;Lysimachia thyrsiflora
706;Lysimachia vulgaris
707;Lythrum salicaria 'Robert'
708;Lythrum salicaria
709;Macleya cordata
710;Magnolia sieboldii
711;Magnolia stellata
712;Magnolia x soulangiana
713;Mahonia aquifolium
714;Malus toringo var. sargentii
715;Malva alcea
716;Malva moscata
717;Matricaria retutita
718;Matteuccia struthiopteris
719;Matteuchia struthiopteris
720;Mecanopsis betonicifolia
721;Melica nutans
722;Melissa officinalis
723;Menispermum canadense
724;Menispermum dauricum
725;Mentha spicata var. crispa
726;Mentha spicata
727;Mentha x piperita
728;Menyanthes trifoliata
729;Meum athamanticum
730;Microbiota decussata
731;Milium effusum
732;Miscanthus sacchariflorus
733;Miscanthus sinensis
734;Molinia caerulea var. arundinacea
735;Molinia caerulea
736;Monarda didyma 'Purpurea'
737;Monarda didyma 'Sarlakka'
738;Monarda didyma 'Syklaami'
739;Monarda didyma
740;Muscari armeniacum
741;Muscari azureum
742;Muscari botryoides
743;Muscari comosum
744;Muscari neglectum
745;Myosotis scorpioides
746;Myosotis sylvatica
747;Myrica gale
748;Myrica germanica
749;Myricaria germanica
750;Narcissus asturiensis
751;Narcissus bulbocodium
752;Narcissus cyclamineus
753;Narcissus jonquilla
754;Narcissus poëticus
755;Narcissus pseudonarcissus
756;Narcissus tazetta
757;Narcissus triandrus
758;Narcissus x incomparabilis
759;Narcissus x medioluteus
760;Nepeta x faassenii
761;Nymphaea alba
762;Nymphaea candida
763;Nymphaea tetragona
764;Ocimum basilicum
765;Oenothera missouriensis
766;Oenothera tetragona
767;Omphalodes verna
768;Oplopanax horridus
769;Origanum majorana
770;Origanum vulgare
