id;selite
498;Sambucus sp
499;Schisandra chinensis
500;Sequoia sempervirens
501;Sequoiadendron giganteum
502;Solanum dulcamara
503;Sorbaria grandiflora
504;Sorbaria sorbifolia
505;Sorbaria sp
506;Sorbus ×thuringiaca 'Fastigiata'
507;Sorbus alnifolia
508;Sorbus americana
509;Sorbus aria
510;Sorbus aucuparia
511;Sorbus commixta
512;Sorbus hybrida
513;Sorbus intermedia
514;Sorbus koehneana
515;Sorbus prattii
516;Sorbus scopulina
517;Sorbus sp
518;Sorbus teodori
519;Sorbus torminalis
520;Spiraea ×cinerea
521;Spiraea ×multiflora
522;Spiraea ×rosalba
523;Spiraea ×sanssouciana
524;Spiraea ×vanhouttei
525;Spiraea alba
526;Spiraea 'Arguta'
527;Spiraea betulifolia
528;Spiraea Billiardii -ryhmä/gruppen/group
529;Spiraea cana
530;Spiraea chamaedryfolia
531;Spiraea douglasii
532;Spiraea fritschiana
533;Spiraea 'Grefsheim'
534;Spiraea hypericifolia
535;Spiraea japonica
536;Spiraea 'Margaritae'
537;Spiraea media
538;Spiraea nipponica
539;Spiraea rosthornii
540;Spiraea salicifolia 
541;Spiraea sp
542;Spiraea tomentosa
543;Spiraea trichocarpa
544;Spiraea trilobata
545;Stephanandra incisa
546;Symphoricarpos albus
547;Symphoricarpos albus var. laevigatus
548;Syringa ×chinensis
549;Syringa ×henryi
550;Syringa ×josiflexa
551;Syringa ×nanceana
552;Syringa ×swegiflexa
553;Syringa josikaea
554;Syringa Preston -ryhmä/gruppen/group
555;Syringa reflexa
556;Syringa reticulata
557;Syringa sp
558;Syringa sweginowii
559;Syringa tigerstedtii
560;Syringa tomentella
561;Syringa villosa
562;Syringa wolfii
563;Syringa vulgaris
564;Tamarix pentandra
565;Taxus ×media
566;Taxus baccata
567;Taxus brevifolia
568;Taxus cuspidata
569;Taxus sp
570;Thuja koraiensis
571;Thuja occidentalis
572;Thuja plicata
573;Thuja sp
574;Thuja standishii
575;Thujopsis dolabrata
576;Tilia ×moltkei
577;Tilia ×vulgaris
578;Tilia americana
579;Tilia cordata
580;Tilia euchlora
581;Tilia japonica
582;Tilia mongolica
583;Tilia platyphyllos
584;Tilia sp
585;Tilia tomentosa
586;Tripterygium regelii
587;Tsuga canadensis
588;Tsuga caroliniana
589;Tsuga diversifolia
590;Tsuga heterophylla
591;Tsuga mertensiana
592;Tsuga sp
593;Ulmus americana
594;Ulmus glabra
595;Ulmus laevis
596;Ulmus minor
597;Ulmus pumila 
598;Ulmus sp
599;Vaccinium corymbosum
600;Vaccinium microcarpum
601;Vaccinium myrtillus
602;Vaccinium oxycoccos
603;Vaccinium sp
604;Vaccinium uliginosum
605;Vaccinium vitis-idaea
606;Weigela Florida -ryhmä/gruppen/group
607;Weigela middendorffiana
608;Weigela praecox
609;Weigela sp
610;Viburnum carlesii
611;Viburnum cassinoides
612;Viburnum dentatum
613;Viburnum dentatum var. lucidum
614;Viburnum lantana
615;Viburnum lentago
616;Viburnum opulus
617;Viburnum rafinesquianum
618;Viburnum sargentii
619;Viburnum sp
620;Vinca minor
621;Vitis amurensis
622;Vitis riparia
